from	to
414916001	414915002
11399002	697896007
399326009	448233000
24079001	43116000
55464009	81573002
57019003	721266009
399326009	448882009
28293008	90935002
128833001	419035001
57019003	300848003
414916001	64572001
422801000	422590001
399326009	363517008
57019003	247440002
11399002	251039005
238131007	840358001
399326009	64572001
28293008	128430005
1162767002	1255006006
11399002	359557001
399326009	126885006
2704003	64572001
13644009	55822004
59393003	69741000
89155008	267874003
22352007	64572001
840533007	1263732006
22352007	42231000009109
57019003	64572001
405152002	363800008
442685003	442191002
89155008	56019007
1162576007	314922006
735676003	60380001
22352007	838353009
22352007	66993009
1162576007	127580003
442685003	1231824009
59393003	64572001
128822004	24072005
13644009	166830008
238131007	404684003
37796009	128187005
28293008	234440005
55464009	200936003
59393003	402939001
128822004	1172709000
28293008	16922007
128833001	24072005
399326009	363484005
