name	type
GlaxoSmithKline	INDUSTRY
Eli Lilly and Company	INDUSTRY
ModernaTX, Inc.	INDUSTRY
Astellas Pharma Inc	INDUSTRY
Boehringer Ingelheim	INDUSTRY
Merck Sharp & Dohme LLC	INDUSTRY
Kyoto University Hospital	OTHER
Pfizer	INDUSTRY
Osaka Metropolitan University	UNKNOWN
Institute for Clinical Effectiveness, Japan	OTHER
Kobe City Medical Center General Hospital	UNKNOWN
Meiji Seika Pharma Co., Ltd.	INDUSTRY
Hiroshima University Hospital	OTHER
Bristol-Myers Squibb	INDUSTRY
KinoPharma Inc.	INDUSTRY
University of Tsukuba	OTHER
Istituto Nazionale di Ricovero e Cura per Anziani	OTHER
AbbVie	INDUSTRY
Kowa Company, Ltd.	INDUSTRY
Takeda	INDUSTRY
Novo Nordisk A/S	INDUSTRY
Southern Tohoku BNCT Research Center	OTHER
AstraZeneca K.K.	UNKNOWN
European Union	OTHER
AstraZeneca	INDUSTRY
